station_id,station_name,Latitude,Longitude,Elevation,Country
48431,NAKHON RATCHASIMA,14.9681,102.0858,186.6,Null
48381,KHON KAEN,16.4608,102.7894,187,Null
41594,SARGODHA,32.05,72.667,188,Null
38687,CHARDZHEV,39.083,63.6,190,Null
42435,BARMER,25.75,71.3833,193,Null
42361,GWALIOR,26.2333,78.25,205,Null
38880,ASHGABAT KESHI,37.987,58.361,211,Null
42182,NEW DELHI/SAFDARJUNG,28.5833,77.2,211,Null
41640,LAHORE CITY,31.55,74.3333,214,Null
59096,LIANPING,24.367,114.483,214,Null
05462,NEW DEHLI,28.63,77.2,216,Null
05548,LAHORE,31.62,74.4,217,Null
42339,JODHPUR,26.3,73.0167,217,Null
58725,SHAOWU,27.3333,117.4667,219,Null
48053,MEIKTILA,20.883,95.9,220,Null
40608,MOSUL,36.317,43.15,223,Null
42165,BIKANER,28,73.3,223,Null
63671,WAJIR,1.75,40.067,224,Null
42886,JHARSIGUDA,21.9167,84.0833,228,Null
42071,AMRITSAR,31.6333,74.8667,229,Null
42328,JAISALMER,26.9,70.9167,231,Null
63624,MANDERA,3.933,41.867,231,Null
41598,JHELUM,32.9333,73.7167,232,Null
38413,TAMDY,41.733,64.617,237,Null
40039,RAQQA,35.933,39.017,245,Null
42101,PATIALA,30.3333,76.4667,251,Null
41600,SIALKOT,32.5,74.5333,255,Null
57461,YICHANG,30.7333,111.3667,257.7,Null
57749,HUAIHUA,27.5667,110,261,Null
59023,HECHI,24.7,108.0333,261,Null
42103,AMBALA,30.3833,76.7667,273,Null
42452,KOTA AERODROME,25.15,75.85,273,Null
57932,RONGJIANG,25.967,108.533,287,Null
42170,CHURU,28.25,74.9167,290,Null
57245,ANKANG,32.43,109.02,291.2,Null
63478,GODE,5.9,43.583,295,Null
42874,PBO RAIPUR,21.2333,81.65,296,Null
54836,YIYUAN,36.183,118.15,302,Null
40030,HAMA,35.117,36.75,303,Null
48930,LUANG-PRABANG,19.883,102.133,305,Null
38927,TERMEZ,37.233,67.267,310,Null
42867,NAGPUR SONEGAON,21.1,79.05,310,Null
57411,NANCHONG,30.8,106.083,310,Null
37735,GANDJA,40.717,46.417,311,Null
58911,CHANGTING,25.85,116.367,311,Null
37055,MINERAL'NYE VODY,44.2167,43.1,312.6,Null
48327,CHIANG MAI,18.7706,98.9683,313.2,Null
42056,JAMMU,32.6667,74.8333,318,Null
51334,JINGHE,44.617,82.9,321,Null
41529,PESHAWAR,34.0333,71.9333,329,Null
56492,YIBIN,28.817,104.533,342,Null
57328,DA XIAN,31.217,107.5,342,Null
43237,ANANTAPUR,14.6833,77.6167,349,Null
40373,AL-QAISUMAH,28.3167,46.1333,358,Null
57972,CHENZHOU,25.7353,112.9739,368.8,Null
38989,TAGTABAZAR,35.9,62.9667,375,Null
40911,MAZAR-I-SHARIF,36.7,67.2,378,Null
42348,JAIPUR / SANGANER,26.8167,75.8,383,Null
42675,JABALPUR,23.2,79.95,397,Null
57036,XIAN,34.3,108.933,398,Null
04858,SIAN,34.25,108.93,400,Null
57131,JINGHE,34.4333,108.9667,411,Null
57731,SINAN,27.95,108.25,418,Null
59948,SANYA,18.2167,109.5833,420,Null
54423,CHENGDE,40.967,117.917,423,Null
40007,ALEPPO INT. AEROPOR,36.333,37.217,425,Null
38599,KHUDJAND,40.217,69.733,427,Null
05454,MALEGAON,20.57,74.53,431,Null
40913,KUNDUZ,36.6667,68.9167,433,Null
57916,LUODIAN,25.433,106.767,441,Null
40001,KAMISHLI,37.05,41.217,455,Null
57447,ENSHI,30.2833,109.4667,458,Null
37549,TBILISI/NOVOALEXEYE,41.6833,44.95,467,Null
05794,BELLARY,15.15,76.95,470,Null
54027,LINDONG,43.983,119.4,485,Null
05784,AJMER,26.45,74.73,490,Null
37575,ZAKATALA,41.55,46.667,490,Null
38457,TASHKENT,41.267,69.267,493,Null
48867,AN KHE (VVAK),13.9667,108.65,495,Null
38606,KOKAND,40.55,70.95,499,Null
62730,KASSALA,15.467,36.4,500,Null
41571,ISLAMABAD AIRPORT,33.6167,73.1,507,Null
56294,CHENGDU,30.667,104.017,508,Null
42542,UDAIPUR DABOK,24.6167,73.8833,509,Null
57127,HANZHONG,33.0667,107.0333,509,Null
63612,LODWAR,3.117,35.617,515,Null
42667,BHOPAL/BAIRAGHAR,23.2833,77.35,522,Null
43128,HYDERABAD AIRPORT,17.45,78.4667,530,Null
17082,MERZIFON,40.85,35.583,535,Null
05449,KANKROLI/RAJSAMAND,25.05,73.88,538,Null
57516,CHONGQING,29.6,106.4,541.1,Null
56187,WENJIANG,30.75,103.8667,549,Null
43041,JAGDALPUR,19.0833,82.0333,554,Null
43063,PUNE,18.5333,73.85,555,Null
37050,PJATIGORSK,44.05,43.03,573,Null
42543,UDAIPUR,24.583,73.7,582,Null
43014,AURANGABAD CHIKALTHANA AERODRO,19.85,75.4,585,Null
62752,GEDAREF,14.033,35.4,599,Null
40438,RIYADH OBS.,24.7,46.733,603,Null
40080,DAMASCUS INT. AIRPO,33.417,36.517,610,Null
40437,KING KHALED INT. AIRPORT,24.9333,46.7167,614,Null
40642,RUTBAH,33.033,40.283,615,Null
40255,IRBED,32.55,35.85,616,Null
42779,PENDRA ROAD,22.767,81.9,625,Null
36859,ZHARKENT,44.167,80.067,645,Null
42701,M.O. RANCHI,23.3167,85.3167,646,Null
38341,TARAZ,42.85,71.3,652,Null
40430,AL-MADINAH,24.55,39.7,654,Null
57067,LUSHI,34.0803,111.0728,659.5,Null
36872,ALMATY,43.3633,77.0042,662.7,Null
51431,YINING,43.95,81.3333,664,Null
57633,YOUYANG,28.833,108.767,665,Null
54218,CHIFENG,42.3,118.8333,668.6,Null
43201,GADAG,15.4167,75.6333,670,Null
57237,WANYUAN,32.067,108.033,674,Null
17281,DIYARBAKIR-BOLGE,37.9,40.2,675,Null
41710,NOKKUNDI,28.8167,62.75,682,Null
40265,MAFRAQ,32.3667,36.25,683,Null
42111,DEHRADUN,30.3167,78.0333,683,Null
52203,HAMI,42.8167,93.5167,739,Null
38353,BISHKEK,42.833,74.583,760,Null
38613,DZHALAL-ABAD,40.917,72.95,765,Null
54401,ZHANGJIAKOU,40.7833,114.8833,774.1,Null
53772,TAIYUAN,37.6206,112.5767,776,Null
40375,TABUK,28.3833,36.6,778,Null
40270,AMMAN AIRPORT,31.983,35.983,779,Null
42623,IMPHAL/TULIHAL,24.7667,93.9,781,Null
51379,QITAI,44.017,89.567,794,Null
38836,DUSHANBE,38.55,68.783,800,Null
54115,LINXI,43.6,118.067,800,Null
48858,PLEIKU AB,14,108.0167,807,Null
37895,KHANKANDY,39.983,46.75,828,Null
48060,KENGTUNG,21.3,99.617,828,Null
51765,TIKANLIK,40.633,87.7,847,Null
41712,DAL BANDIN,28.8833,64.4,848,Null
53564,HEQU,39.383,111.15,861,Null
42079,SUNDERNAGAR,31.5333,76.9,874,Null
51495,SHISANJIANFANG,43.483,91.633,874,Null
37936,NAXCIVAN,39.2,45.417,885,Null
51777,RUOQIANG,39.0333,88.1667,889,Null
43295,BANGALORE,12.9667,77.5833,917,Null
51463,WU LU MU QI,43.7833,87.6167,919,Null
51656,KORLA,41.75,86.133,933,Null
44354,SAINSHAND,44.9,110.117,938,Null
52267,EJIN QI,41.95,101.0667,941,Null
53845,YAN AN,36.5667,109.45,958.9,Null
53068,ERENHOT,43.6333,111.95,966,Null
40938,HERAT,34.217,62.217,977,Null
41739,PANJGUR,26.9667,64.1,980,Null
54012,XI UJIMQIN QI,44.583,117.6,997,Null
40745,MASHHAD,36.2667,59.6333,999,Null
54102,XILIN HOT,43.95,116.1167,1004,Null
40990,KANDAHAR AIRPORT,31.5,65.85,1010,Null
40394,HAIL,27.4333,41.6833,1015,Null
53513,LINHE,40.7333,107.3667,1041,Null
17195,KAYSERI/ERKILET,38.817,35.433,1054,Null
53420,XAMBA,40.97,107.17,1057,Null
40310,MAAN,30.167,35.783,1069,Null
53487,DATONG,40.1,113.333,1069,Null
56096,WUDU,33.383,104.917,1079,Null
51644,KUQA,41.7167,82.95,1083.5,Null
17196,KAYSERI BOLGE,38.6833,35.4833,1096,Null
41685,BARKHAN,29.8833,69.7167,1097,Null
53614,YINCHUAN,38.4667,106.2,1112,Null
63619,MOYALE,3.533,39.05,1113,Null
44385,HANBOGD,43.2,107.167,1114,Null
51716,BACHU,39.8,78.567,1117,Null
37789,YEREVAN AERO,40.2169,44.5017,1134,Null
52418,DUNHUANG,40.15,94.6833,1140,Null
53502,JARTAI,39.783,105.75,1143,Null
57006,TIANSHUI,34.583,105.75,1143,Null
53276,JURH,42.4,112.9,1152,Null
53463,HOHHOT,40.85,111.5667,1153.5,Null
53083,NARAN BULAG,44.617,114.15,1183,Null
40754,TEHRAN-MEHRABAD,35.6833,51.3167,1204,Null
57816,GUIYANG,26.4833,106.65,1223,Null
41744,KHUZDAR,27.8333,66.6333,1231,Null
51811,SHACHE,38.433,77.267,1232,Null
40821,YAZD,31.9,54.2833,1238,Null
59007,GUANGNAN,24.067,105.067,1251,Null
51848,ANDIR,37.93,83.65,1264,Null
51628,WEN-SU,41.26,80.3,1286,Null
53336,HALIUT,41.5667,108.5167,1290,Null
56964,SIMAO,22.7667,100.9833,1303,Null
53546,CHASAKOCHI,39.283,109.75,1310,Null
56985,MENGZI,23.4444,103.3278,1313.6,Null
40766,KERMANSHAH,34.35,47.15,1319,Null
52495,BAYAN MOD,40.75,104.5,1329,Null
44454,KATHMANDU AIRPORT,27.7,85.367,1337,Null
63641,MARSABIT,2.333,37.983,1345,Null
53915,PINGLIANG,35.55,106.6667,1348,Null
40706,TABRIZ,38.0833,46.2833,1367,Null
52681,MINQIN,38.6333,103.0833,1367,Null
40856,ZAHEDAN,29.4667,60.8833,1370,Null
51828,HOTAN,37.1333,79.9333,1375,Null
57902,XINGREN,25.433,105.183,1379,Null
53529,OTOG QI,39.1,107.983,1381,Null
41390,TAIZ (CIV/MIL),13.683,44.15,1385,Null
51709,KASHI,39.4833,75.75,1386.7,Null
41620,ZHOB,31.35,69.467,1407,Null
51839,MINFENG,37.0667,82.7167,1409,Null
41516,GILGIT,35.9167,74.3333,1453,Null
53543,DONGSHENG,39.8333,109.9833,1459,Null
52391,PANG-TING-TO-TO-KAI,41.75,103.9667,1463,Null
41515,DROSH,35.5667,71.7833,1464,Null
44373,DALANZADGAD,43.5833,104.4167,1465,Null
52533,JIUQUAN,39.7667,98.4833,1478,Null
40848,SHIRAZ,29.5333,52.6,1484,Null
40809,BIRJAND,32.8667,59.2,1491,Null
41506,CHITRAL,35.9217,71.8,1499,Null
42516,SHILLONG S06 03Z,25.5667,91.8833,1500,Null
56951,LINCANG,23.8833,100.0833,1502.4,Null
53231,HAILS,41.45,106.383,1510,Null
57707,BIJIE,27.3,105.233,1511,Null
37686,GUMRI,40.783,43.833,1512,Null
52889,LANZHOU,36.05,103.883,1518,Null
52436,YUMENZHEN,40.267,97.033,1527,Null
40800,ESFAHAN,32.5175,51.7061,1550.4,Null
63695,MERU,0.083,37.65,1554,Null
42027,SRINAGAR,34.0833,74.8333,1585,Null
56571,XICHANG,27.9,102.2667,1599,Null
41661,QUETTA (SHEIKH MANDA),30.2667,66.9167,1620,Null
56739,TENGCHONG,24.9844,98.5056,1696.9,Null
41560,PARACHINAR,33.8667,70.0833,1725,Null
40841,KERMAN,30.25,56.9667,1748,Null
42299,GANGTOK,27.3333,88.6167,1756,Null
52323,MAZONG SHAN,41.8,97.0333,1770,Null
40948,KABUL AIRPORT,34.55,69.2167,1791,Null
17095,ERZURUM BOLGE,39.9,41.2833,1869,Null
63694,NANUYKI,0.033,37.033,1872,Null
52983,YU ZHONG,35.8667,104.15,1875,Null
63661,KITALE,1.017,35,1890,Null
56778,KUNMING,25.0167,102.6833,1892,Null
52313,XING-XING-XIA,41.7833,95.1333,1935,Null
56779,KAN-HAI-TZU,25.0167,102.8333,1982,Null
51711,AKQI,40.933,78.45,1986,Null
41696,KALAT,29.0333,66.5833,2015,Null
36974,NARYN,41.433,76,2041,Null
56533,LA WANG/TZUKEI,27.6667,98.3833,2051,Null
41114,KHAMIS MUSHAIT,18.3,42.8,2066,Null
38954,KHOROG,37.5,71.5,2077,Null
41112,ABHA,18.2333,42.65,2090,Null
63686,ELDORET,0.483,35.3,2120,Null
05832,SHIMLA,31.08,77.18,2130,Null
41344,SANA'A (CIV/MIL),15.517,44.183,2190,Null
41404,SANAA,15.383,44.2,2190,Null
56691,WEINING,26.8667,104.2833,2236,Null
05798,DARJEELING,27.05,88.3,2270,Null
52866,XINING,36.7167,101.75,2296,Null
63021,ASMARA,15.283,38.917,2325,Null
63450,ADDIS ABABA-BOLE,9.0333,38.75,2354,Null
56651,LIJING,26.867,100.233,2394,Null
56247,BATANG,29.967,99.067,2589,Null
56374,KANGDING,30.05,101.967,2617,Null
56172,BARKAM,31.9,102.233,2666,Null
52602,LENGHU,38.833,93.383,2771,Null
52818,GOLMUD,36.4167,94.9,2809,Null
56080,HEZUO,35,102.9,2910,Null
52737,DELINGHA,37.317,97.217,2982,Null
56462,JIULONG,29.033,101.5,2994,Null
56312,NYINGCHI,29.5667,94.4667,3001,Null
51895,MANGYA,37.85,91.65,3060,Null
51886,MANGNAI,38.25,90.85,3139,Null
52713,DA-QAIDAM,37.85,95.367,3174,Null
52836,DOULAN,36.3,98.1,3190,Null
56137,QAMDO,31.15,97.1667,3307,Null
56444,DEQEN,28.45,98.883,3320,Null
56146,GARZE,31.6167,100,3394,Null
56079,RUOERGAI,33.583,102.967,3441,Null
55591,LHASA,29.6667,91.1333,3650,Null
56029,YUSHU,33,96.95,3716.9,Null
55578,XIGAZE,29.217,88.917,3837,Null
56116,DENGQEN,31.417,95.6,3874,Null
55696,LHUNZE,28.417,92.467,3900,Null
56046,DARLAG,33.8,99.8,3968,Null
56106,SOG XIAN,31.867,93.767,4024,Null
56033,MADOI,34.917,98.217,4273,Null
55228,SHIQUANHE,32.5,80.067,4279,Null
55773,PAGRI,27.75,89.167,4301,Null
55664,TINGRI,28.633,87.083,4302,Null
55299,NAGQU,31.4833,92.0667,4508,Null
56004,TUOTUOHE,33.95,92.617,4535,Null
52908,WUDAOLIANG,35.217,93.083,4613,Null
55472,XAINZA,30.95,88.633,4671,Null
55279,BAINGOIN,31.367,90.017,4701,Null
